filename,width,height,class,xmin,ymin,xmax,ymax
ps-2024-06-10T235336-779_jpeg.rf.43664b93cc6b3900fb20502e7a320d3d.jpg,160,160,PS,5,39,154,120
trashbag-12-_jpeg.rf.432603044edbb2aa3851387bba9b89d0.jpg,160,160,LDPE,56,12,142,147
storage-cont-27-_jpeg.rf.4412211860389d4e6e241dede67aae13.jpg,160,160,HDPE,6,14,157,144
botol-detergen-36-_jpeg.rf.4450343cbd47449ee7cb4f854ec8a5b7.jpg,160,160,PVC,54,10,106,147
sunlight-23-_jpeg.rf.44578aa9d372d31eecadcdb8e38f82c5.jpg,160,160,Other,58,18,142,146
plastic-bag-46-_jpeg.rf.44f010ec3f959c59ef3bc4decfc0e221.jpg,160,160,LDPE,56,41,108,149
aqua-33-_jpeg.rf.42ae82c30b9077b65edfba0b929aafa4.jpg,160,160,PET,52,21,113,129
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,12,35,63,118
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,32,54,83,130
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,51,75,97,138
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,68,88,111,149
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,58,25,102,59
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,78,40,123,77
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,94,55,136,96
chemical-cont-39-_jpeg.rf.43278233d92ff2aa0819d10bc8bcf084.jpg,160,160,HDPE,111,81,151,138
botol-shampoo-2024-06-19T171145-100_jpeg.rf.424089d3dc64f2b2f1bf99a2aa7c9077.jpg,160,160,PVC,8,64,37,137
botol-shampoo-2024-06-19T171145-100_jpeg.rf.424089d3dc64f2b2f1bf99a2aa7c9077.jpg,160,160,PVC,42,32,73,108
botol-shampoo-2024-06-19T171145-100_jpeg.rf.424089d3dc64f2b2f1bf99a2aa7c9077.jpg,160,160,PVC,74,70,101,138
botol-shampoo-2024-06-19T171145-100_jpeg.rf.424089d3dc64f2b2f1bf99a2aa7c9077.jpg,160,160,PVC,99,19,120,107
botol-shampoo-2024-06-19T171145-100_jpeg.rf.424089d3dc64f2b2f1bf99a2aa7c9077.jpg,160,160,PVC,125,44,154,135
ps-2024-06-10T235335-555_jpeg.rf.439fd20fa1645bd29da2450ac67105c8.jpg,160,160,PS,11,37,151,122
trash-bin-76-_jpeg.rf.421f9ebe16935876bf59264213b480f3.jpg,160,160,HDPE,101,15,151,144
trash-bin-76-_jpeg.rf.421f9ebe16935876bf59264213b480f3.jpg,160,160,HDPE,60,67,97,122
trash-bin-76-_jpeg.rf.421f9ebe16935876bf59264213b480f3.jpg,160,160,HDPE,16,33,63,127
ps-169-_jpeg.rf.421664762c0d32806f6da71e5a264118.jpg,160,160,PS,49,17,111,125
botol-detergen-30-_jpeg.rf.42f3e28b1340de9b82401e2b971fd25a.jpg,160,160,PVC,53,15,106,145
aqua-19-_jpeg.rf.449a8e2ca2d9102d322d8827aaf1d659.jpg,160,160,PET,24,46,46,109
aqua-19-_jpeg.rf.449a8e2ca2d9102d322d8827aaf1d659.jpg,160,160,PET,45,57,63,115
aqua-19-_jpeg.rf.449a8e2ca2d9102d322d8827aaf1d659.jpg,160,160,PET,60,64,81,122
aqua-19-_jpeg.rf.449a8e2ca2d9102d322d8827aaf1d659.jpg,160,160,PET,79,64,100,121
aqua-19-_jpeg.rf.449a8e2ca2d9102d322d8827aaf1d659.jpg,160,160,PET,98,56,119,115
aqua-19-_jpeg.rf.449a8e2ca2d9102d322d8827aaf1d659.jpg,160,160,PET,114,47,135,105
ps-115-_jpeg.rf.44b48a73f9c6acd92a22312eebdf7bb1.jpg,160,160,PS,61,97,99,156
tupperware-177-_jpeg.rf.420f26413e7a57c026ec7ddde53d4057.jpg,160,160,PP,82,53,153,108
tupperware-177-_jpeg.rf.420f26413e7a57c026ec7ddde53d4057.jpg,160,160,PP,5,55,80,111
tupperware-177-_jpeg.rf.420f26413e7a57c026ec7ddde53d4057.jpg,160,160,PP,80,89,151,130
botol-shampoo-24-_jpeg.rf.41c54618ff4f5cda81103ff371ed0ed6.jpg,160,160,PVC,39,24,82,139
ps-164-_jpeg.rf.422bec1bcacca053bd69d8a7fd801eb3.jpg,160,160,PS,22,13,137,139
plastic-bag-1-_jpeg.rf.44185824d7bf32c6fe55469297746289.jpg,160,160,LDPE,37,14,159,160
sunlight-60-_jpeg.rf.43025919af610cd38d83127c69c53c9a.jpg,160,160,Other,51,0,116,160
plastic-bag-22-_jpeg.rf.459e72e14d7772f30843d744b29e7b04.jpg,160,160,LDPE,12,63,68,136
plastic-bag-22-_jpeg.rf.459e72e14d7772f30843d744b29e7b04.jpg,160,160,LDPE,33,53,85,119
plastic-bag-22-_jpeg.rf.459e72e14d7772f30843d744b29e7b04.jpg,160,160,LDPE,55,42,111,122
plastic-bag-22-_jpeg.rf.459e72e14d7772f30843d744b29e7b04.jpg,160,160,LDPE,70,36,147,132
kantong-plastik-68-_jpeg.rf.429d5536377ce053e510ab0299ccf328.jpg,160,160,LDPE,81,63,139,146
kantong-plastik-68-_jpeg.rf.429d5536377ce053e510ab0299ccf328.jpg,160,160,LDPE,15,69,68,121
trash-bin-33-_jpeg.rf.45eecce600b8820e5e5c00826f0bc46d.jpg,160,160,HDPE,18,7,136,155
botol-detergen-44-_jpeg.rf.44733bbca7c5603843f1cc07311ebfa2.jpg,160,160,PVC,101,60,128,119
botol-detergen-44-_jpeg.rf.44733bbca7c5603843f1cc07311ebfa2.jpg,160,160,PVC,67,62,93,118
botol-detergen-44-_jpeg.rf.44733bbca7c5603843f1cc07311ebfa2.jpg,160,160,PVC,32,62,58,118
fanta-72-_jpeg.rf.42c6a1cd28698c005c0601c970b50811.jpg,160,160,PET,13,9,55,159
fanta-72-_jpeg.rf.42c6a1cd28698c005c0601c970b50811.jpg,160,160,PET,56,11,102,160
fanta-72-_jpeg.rf.42c6a1cd28698c005c0601c970b50811.jpg,160,160,PET,106,9,147,159
tupperware-177-_jpeg.rf.45c0abe79483c26644c11501964087f7.jpg,160,160,PP,8,53,79,108
tupperware-177-_jpeg.rf.45c0abe79483c26644c11501964087f7.jpg,160,160,PP,80,55,155,111
tupperware-177-_jpeg.rf.45c0abe79483c26644c11501964087f7.jpg,160,160,PP,10,89,81,130
ps-2024-06-10T235331-481_jpeg.rf.45f3c10be60c702e8fad069d12ed26af.jpg,160,160,PS,53,20,157,87
rinso-71-_jpeg.rf.44cc3fd7139cc8e0206e9aa15342a7b9.jpg,160,160,Other,44,41,68,75
rinso-71-_jpeg.rf.44cc3fd7139cc8e0206e9aa15342a7b9.jpg,160,160,Other,16,40,43,75
rinso-71-_jpeg.rf.44cc3fd7139cc8e0206e9aa15342a7b9.jpg,160,160,Other,42,74,67,107
rinso-71-_jpeg.rf.44cc3fd7139cc8e0206e9aa15342a7b9.jpg,160,160,Other,15,74,42,109
rinso-71-_jpeg.rf.44cc3fd7139cc8e0206e9aa15342a7b9.jpg,160,160,Other,42,107,69,142
rinso-71-_jpeg.rf.44cc3fd7139cc8e0206e9aa15342a7b9.jpg,160,160,Other,17,109,43,141
botol-detergen-85-_jpeg.rf.468f02ae476834ca00e80211cbcc63f7.jpg,160,160,PVC,57,11,101,117
tupperware-179-_jpeg.rf.45c546de822d49e51e79894873f7df23.jpg,160,160,PP,32,36,84,143
tupperware-179-_jpeg.rf.45c546de822d49e51e79894873f7df23.jpg,160,160,PP,91,39,127,145
rinso-80-_jpeg.rf.43675f3a9c9e408cfcaa7b9c37440c7c.jpg,160,160,Other,93,15,159,118
rinso-80-_jpeg.rf.43675f3a9c9e408cfcaa7b9c37440c7c.jpg,160,160,Other,50,29,111,132
rinso-80-_jpeg.rf.43675f3a9c9e408cfcaa7b9c37440c7c.jpg,160,160,Other,0,41,66,148
indomie-15-_jpeg.rf.455f9f8411e1193039e3ab5401df309c.jpg,160,160,PP,27,35,132,120
cocacola-44-_jpeg.rf.460fe5f2a88f61cf0167c755f1c2fd39.jpg,160,160,PET,50,10,111,146
lays-7-_jpeg.rf.4519519ed90ca5a4b88a8d9a77285159.jpg,160,160,PP,17,3,125,160
cocacola-22-_jpeg.rf.45c91ed35a332d1aa498fb1493c393fe.jpg,160,160,PET,7,3,52,160
cocacola-22-_jpeg.rf.45c91ed35a332d1aa498fb1493c393fe.jpg,160,160,PET,55,0,102,159
cocacola-22-_jpeg.rf.45c91ed35a332d1aa498fb1493c393fe.jpg,160,160,PET,105,2,157,159
ps-127-_jpeg.rf.45112f3bf494ccb370982cafb9374579.jpg,160,160,PS,27,3,135,157
ps-111-_jpeg.rf.467564a0dc33504130a51c5140ab0515.jpg,160,160,PS,25,12,135,148
rinso-72-_jpeg.rf.45d85657362141ffb3e342038d9d3b58.jpg,160,160,Other,54,7,103,70
rinso-72-_jpeg.rf.45d85657362141ffb3e342038d9d3b58.jpg,160,160,Other,56,72,104,152
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,15,60,27,75
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,42,63,56,80
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,55,99,66,108
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,101,113,121,138
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,114,89,135,118
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,138,77,160,108
tutup-botol-49-_jpeg.rf.46c6b60a99cbc635fd6353e30aa1ce5c.jpg,160,160,HDPE,130,1,146,19
ps-2-_jpeg.rf.471211c296f56726e744b7487685627c.jpg,160,160,PS,24,17,137,132
indomie-52-_jpeg.rf.46e62c4890885ffb27daa72a4958ff2f.jpg,160,160,PP,18,45,108,116
aqua-46-_jpeg.rf.4770b9f0384b8b2b22114f7c4042a3e3.jpg,160,160,PET,19,19,47,106
aqua-48-_jpeg.rf.469dba8a85355581940b766756d63c39.jpg,160,160,PET,65,3,107,160
rinso-75-_jpeg.rf.47c159a0a292d4f888a45bb8afb86668.jpg,160,160,Other,8,20,81,144
aqua-15-_jpeg.rf.46bac985f826f75257ce17d71dab7a39.jpg,160,160,PET,67,28,94,118
botol-detergen-2024-06-19T171305-528_jpeg.rf.475b1e76e920e0fe8890b5faf85d89cf.jpg,160,160,PVC,26,71,56,144
botol-detergen-2024-06-19T171305-528_jpeg.rf.475b1e76e920e0fe8890b5faf85d89cf.jpg,160,160,PVC,55,83,99,144
botol-detergen-2024-06-19T171305-528_jpeg.rf.475b1e76e920e0fe8890b5faf85d89cf.jpg,160,160,PVC,98,79,123,144
botol-detergen-2024-06-19T171305-528_jpeg.rf.475b1e76e920e0fe8890b5faf85d89cf.jpg,160,160,PVC,121,71,150,145
